salesYear,salesMonth,totalRevenue
2003,January,116692.77
2003,February,128403.64
2003,March,160517.14
2003,April,185848.59
2003,May,179435.55
2003,June,150470.77
2003,July,201940.36
2003,August,178257.11
2003,September,236697.85
2003,October,514336.21
2003,November,988025.15
2003,December,276723.25
2004,January,292385.21
2004,February,289502.84
2004,March,217691.26
2004,April,187575.77
2004,May,248325.30
2004,June,343370.74
2004,July,325563.49
2004,August,419327.09
2004,September,283799.80
2004,October,500233.86
2004,November,979291.98
2004,December,428838.17
2005,January,307737.02
2005,February,317192.17
2005,March,359711.96
2005,April,344820.62
2005,May,441474.94
